k,k
KA,KA
Kabul,カブール
Kaiser,カイザー
kale,ケール
kaleidoscope,万華鏡
kaleidoscopic,万華鏡のような
kalium,カリウム
Kamakura,鎌倉
kamikaze,神風
kanamycin,カナマイシン
Kandahar,カンダハル
kangaroo,カンガルー
Kannur,カヌール
Kansas,カンザス
Kant,カント
Kaplan,カプラン
kappa,カッパ
kaput,kaput
Karachi,カラチ
Karadzic,カラジッチ
karaoke,カラオケ
karate,空手
Karen,カレン
Karl,カール
karma,カルマ
karyotype,核型
Kashmir,カシミール
Kashmirus,カシミールの
KAT,KAT
Kate,ケイト
katha,カタ
Katherine,キャサリン
Kathleen,キャスリーン
Kathmandu,カトマンズ
Kathy,キャシー
Kay,ケイ
kayak,カヤック
kayaker,カヤッカー
Kazakhstan,カザフスタン
KB,KB
kcal,キロカロリー
KCl,塩化カリウム
KDA,KDA
KE,KE
kebab,ケバブ
keel,キール
keen,熱心な
keenly,鋭く
keep,保つ
keeper,キーパー
keeping,保管
keepsake,形見
keg,ケグ
Keith,キース
Kelly,ケリー
keloid,ケロイド
kelp,昆布
kelvin,ケルビン
Ken,ケン
Kennedy,ケネディ
kennel,犬小屋
Kenneth,ケニス
Kenny,ケニー
keno,キノ
Kensington,ケンジントン
Kent,ケント
Kentucky,ケンタッキー州
Kenya,ケニア
Kenyan,ケニアの
keratinocyte,ケラチノサイト
kerfuffle,騒動
Kern,カーン
kernel,カーネル
kerosene,灯油
Kerry,ケリー
ketch,ケッチ
ketchup,ケチャップ
Ketoacidosis,ケトアシドーシス
ketone,ケトン
kettle,やかん
Kevin,ケヴィン
key,キー
keyboard,キーボード
keyed,キー付き
keyhole,鍵穴
Keynes,ケインズ
Keynesian,ケインズ主義の
keynote,基調
keystone,キーストーン
keyword,キーワード
Kg,Kg
KGB,KGB
KH,カンボジア 
khaki,カーキ
khan,カーン
Khartoum,ハルツーム
Khmer,クメール語
Khrushchev,フルシチョフ
khz,kHzの
kibbutz,キブツ
kibitz,kibitz
kibosh,kibosh
kick,キック
kickback,キックバック
kickboxing,キックボクシング
kicker,キッカー
kicking,蹴り
kickoff,キックオフ
kicky,おしゃれな
kid,子ども
kiddie,児童
kidding,冗談
kidnap,誘拐
kidnapper,誘拐犯
kidnapping,誘拐
kidney,腎臓
kielbasa,キルバサ
Kiev,キエフ
kill,殺す
killed,殺された
killer,キラー
killing,殺害
killjoy,水を差す人
kiln,窯
kilo,キロ
kilogram,キログラム
kilometer,キロ
kilometre,キロ
kilowatt,キロワット
kilt,キルト
kilter,元気
Kim,キム
kimono,着物
kin,親族
Kinabalu,キナバル山
kinase,キナーゼ
kind,種類
kinda,ちょっと
kinder,キンダー
kindergarten,幼稚園
kindergartner,幼稚園児
kindle,キンドル
kindly,親切に
kindness,親切
kindred,親族
kinesin,キネシン
kinetic,動的
kinetics,動力学
king,キング
kingdom,王国
kingfish,キングフィッシュ
kingfisher,カワセミ
kingpin,キングピン
kingship,王政
Kingston,キングストン
kink,キンク
Kinko,キンコーズ
kinky,倒錯した
kinship,親族関係
kinsman,血縁者
kiosk,キオスク
kip,キップ
kipper,キッパー
Kir,キール
Kirk,カーク
kiss,キス
kissed,キス
kisser,キスをする人
Kissinger,キッシンジャー
kit,キット
kitchen,キッチン
kitchenette,キチネット
kitchenware,台所用品
kite,カイト
kitsch,キッチュ
kitschy,低俗な
kitten,子猫
kitty,キティ
kiwi,キウイ
KKK,KKK
KL,クアラルンプール
klansman,klansman
Kleenex,クリネックス
Klein,クライン
kleptomania,盗癖
klutz,不器用な人
km,キロ
Kmart,Kマート
knack,こつ
knapsack,ナップザック
knave,悪党
knavery,knavery
knead,こねる
knee,膝
kneecap,膝頭
kneel,ひざまずく
knell,弔鐘
knelt,ひざまずき
Knesset,イスラエル国会
knick,クニック
knickers,パンティー
knickknack,knickknack
knife,ナイフ
knight,騎士
knighthood,爵位
knit,ニット
knitting,編み物
knitwear,ニット
knob,ノブ
knobby,節くれだった
knock,ノック
knockdown,倒す
knockoff,模造品
knockout,ノックアウト
knoll,小山
knot,結び目
knotty,節のある
know,知っている
knowable,知り得る
knowingly,故意
knowle,についての知識
knowledge,知識
knowledgeable,知識の豊富な
Knox,ノックス
knuckle,ナックル
koala,コアラ
Kobe,神戸
Kodak,コダック
kohl,コー??ル
kola,コラ
Kong,香港
kook,変人
kookaburra,ワライカワセミ
kooky,kooky
kool,クール
Koran,コー??ラン
Korea,韓国
Korean,韓国語
Korsakov,コルサコフ
kosher,コー??シャ
Kosovar,コソボの
Kosovo,コソボ
Kowloon,カオルーン
KR,KR
kraft,クラフト
kraut,kraut
Krav,クラヴマガ
Kremlin,クレムリン宮殿
krill,オキアミ
kris,クリス
Krishna,クリシュナ
krispy,クリスピー
Kristen,クリステン
krone,クローネ
krypton,クリプトン
KS,KS
KSM,KSM
Kuala,クアラルンプール
Kublai,フビライ
Kubrick,キューブリック
Kuching,クチン市
kudos,名声
kumquat,キンカン
kung,カンフー
Kurd,クルド
Kurdish,クルド
Kurdistan,クルディスタン
Kuwait,クウェート
Kuwaiti,クウェート
Kuwaitis,クウェート
kvetch,苦情
KY,KY
kynurenine,キヌレニン
Kyrgyzstan,キルギスタン
Kyushu,九州
