y,YA
ya,ヨット
yacht,ヨット遊び
yachting,ヨットマン
yachtsman,云々
yada,yadda
yadda,YAH
yah,ヤフー
Yahoo,ヤク
yak,エール
Yale,ヤムイモ
yam,不平を言う
yammer,ヤン
Yang,揚子江
Yangzi,ヤンク
yank,ヤンキー
Yankee,ヤップ
yap,庭
yard,ヤード
yardage,基準
yardstick,yarmulke
yarmulke,糸
yarn,ノコギリソウ
yarrow,ヤセル
Yasser,Yateの
YATE,あくび
yawn,わーい
Yay,YCCR
YCCR,なんじら
ye,賛成
yea,はい
yeah,年
year,年鑑
yearbook,1年子
yearling,一年間
yearlong,毎年
yearly,慕う
yearn,憧れ
yearning,酵母
yeast,叫ぶ
yell,黄
yellow,黄色がかった
yellowish,イエローストーン
Yellowstone,甲高い声
yelp,エリツィン
Yeltsin,イエメン
Yemen,イエメンの
Yemeni,円
yen,ヨーマン
yeoman,うん
yep,ヤー
yer,はい
yes,イェシーバ
Yeshiva,昨日
yesterday,先年
yesteryear,まだ
yet,イチイ
yew,イディッシュ語
Yiddish,産出
yield,yike
yike,陰
yin,イップ
yip,yipe
yipe,yipeの強調形
yippee,YMCA
YMCA,メーリングリストへ
YMMV,ヨーヨー
yo,ヨーデル
yodel,ヨガ
yoga,ヨーグルト
yoghurt,ヨガ
yogi,ヨーグルト
yogurt,ヨーク
yoke,結ばれた
yoked,田舎者
yokel,横浜
Yokohama,卵黄
yolk,ヨン
yon,彼方
yonder,昔
yore,ヨーク
York,ニューヨーカー
Yorker,ヨークシャー
Yorkshire,ヨセミテ
Yosemite,あなた
you,若い
young,年下
younger,一番年下の
youngest,やや若い　
youngish,若者
youngster,あなたの
your,あなたのもの
yours,あなた自身
yourself,若者
youth,若々しい　
youthful,悲しそうな声
yowl,年
yr,元
yuan,ユッカ
yucca,不潔なもの
yuck,気持ち悪い　
yucky,ユーゴスラビアの
Yugoslav,ユーゴスラビア
Yugoslavia,ユーゴスラビアの
Yugoslavian,不潔なもの
yuk,ユーコン州
Yukon,ユール
yule,YUM
yum,おいしい　
yummy,うん
yup,ヤッピー
Yuppie,YWCA
YWCA,z
